League,Country,LeagueSlug,WikipediaTitle,Level,RawLevel,Status,Aliases
Landesliga Steiermark,Austria,Landesliga_Steiermark,Landesliga Steiermark,4,4,ok,
1. Landesliga,Austria,1._Nieder%C3%B6sterreichische_Landesliga,1. Niederösterreichische Landesliga,4,4,ok,
Wiener Stadtliga,Austria,Wiener_Stadtliga,Wiener Stadtliga,4,4,ok,
Lebanese Premier League,Lebanon,Lebanese_Premier_League,Lebanese Premier League,1,[[Lebanese football league system|1]],ok,
Yemeni Premier League,Yemen,Yemeni_Premier_League,Yemeni Premier League,1,"manual: top division (Wikipedia: Yemeni League, levels=1)",manual,
Libyan Premier League,Libya,Libyan_Premier_League,Libyan Premier League,1,1,ok,
Kuwait Premier League,Kuwait,Kuwait_Premier_League,Kuwait Premier League,1,1,ok,
Oman Professional League,Oman,Oman_Professional_League,Oman Professional League,1,1,ok,Oman Elite League
Malaysia A2 Amateur League,Malaysia,Malaysia_A2_Amateur_League,Malaysia A2 Amateur League,3,3,ok,
Second Division,Bahrain,Bahraini_Second_Division,Bahraini Second Division,2,2,ok,
Campeonato Paulista Série A4,Brazil,Campeonato_Paulista_S%C3%A9rie_A4,Campeonato Paulista Série A4,4,4,ok,
II liga,Poland,II_liga,II liga,3,[[Polish football league system|3]],ok,
Linafoot,DR Congo,Linafoot,Linafoot,1,1,ok,Ilicocash Ligue 1
Tanzanian Premier League,United Republic of Tanzania,Tanzanian_Premier_League,Tanzanian Premier League,1,1,ok,
BGL Ligue,Luxembourg,Luxembourg_National_Division,Luxembourg National Division,1,1,ok,
Lisbon FA 2nd Division,Portugal,Lisbon_Football_Association,Lisbon Football Association,6,manual: Lisbon FA second division = district Level 6,manual,
Belarusian First League,Belarus,Belarusian_First_League,Belarusian First League,2,[[Football in Belarus#League system|2]],ok,
Belarusian Premier League,Belarus,Belarusian_Premier_League,Belarusian Premier League,1,[[Football in Belarus#League system|1]],ok,
First League,Croatia,First_Football_League_(Croatia),First Football League (Croatia),2,2,ok,
"Division One League, Ghana",Ghana,"Division_One_League,_Ghana",Division One League,2,2,ok,
Kategoria Superiore,Albania,Kategoria_Superiore,Kategoria Superiore,1,1,ok,
Hellenic League,England,Hellenic_Football_League,Hellenic Football League,9,[[English football league system|Levels 9–10]] (Premier Division; Division One),ok,
Poly Tank Division One League,Ghana,Ghana_Football_Leagues#Division_One_League_.28Poly_Tank_Division_One_League.29,Ghana Football Leagues,2,2{{endash}}4,ok,
Ghana Division Two League,Ghana,Ghana_Football_Leagues#Division_Two_League,Ghana Football Leagues,2,2{{endash}}4,ok,
Liga Bantrab,Guatemala,Liga_Bantrab,Liga Bantrab,1,1,ok,
Liga Nacional,Honduras,Liga_Nacional_de_F%C3%BAtbol_Profesional_de_Honduras,Liga Nacional de Fútbol de Honduras,1,1,ok,
División Profesional,Bolivia,FBF_Divisi%C3%B3n_Profesional,FBF División Profesional,1,1,ok,
Liga Dominicana de Fútbol,Dominican Republic,Liga_Dominicana_de_F%C3%BAtbol,Liga Dominicana de Fútbol,1,1,ok,
Liga 3,Peru,Liga_3_(Peru),Liga 3 (Peru),3,3,ok,
