League,Country,LeagueSlug,WikipediaTitle,Level,RawLevel,Status,Aliases
Campeonato de Portugal,Portugal,Campeonato_de_Portugal_(league),Campeonato de Portugal (league),4,corrected: lead: 'fourth level' (Liga 3 added as tier 3 in 2021),corrected,
Azadegan League,Iran,Azadegan_League,Azadegan League,2,[[Iranian football league system|2]],ok,
Danish 2nd Division,Denmark,Danish_2nd_Division,Danish 2nd Division,3,3,ok,2nd Division
Central League 2,New Zealand,Central_League_2_(New_Zealand),Central League 2 (New Zealand),3,[[New Zealand football league system|3]],ok,
Slovak First Football League,Slovakia,Slovak_First_Football_League,Slovak First Football League,1,1,ok,
First Division League,Saudi Arabia,Saudi_First_Division_League,Saudi First Division League,2,[[Saudi football league system|2]],ok,FD League; Saudi First Division; Saudi First Division League
Iraqi Premier Division League,Iraq,Iraqi_Premier_Division_League,Iraqi Premier Division League,2,2,ok,
Ligue 1,Algeria,Algerian_Ligue_Professionnelle_1,Algerian Ligue Professionnelle 1,1,1,ok,Algerian Ligue Professionnelle 1
Jordanian First Division League,Jordan,Jordanian_First_Division_League,Jordanian First Division League,2,2,ok,
Liga FUTVE,Venezuela,Liga_FUTVE,Liga FUTVE,1,1,ok,
Czech Fourth Division,Czech Republic,Czech_Fourth_Division,Czech Fourth Division,4,4,ok,
Northern Premier League,England,Northern_Premier_League,Northern Premier League,7,[[English football league system|Levels 7–8]],ok,
Liga Premier,Mexico,Liga_Premier_de_M%C3%A9xico,Liga Premier de México,3,[[Mexican football league system|3]],ok,
National First Division,South Africa,National_First_Division,National First Division,2,2,ok,First Division
Chinese Super League,China,Chinese_Super_League,Chinese Super League,1,[[Chinese football league system|1]],ok,
Ettan,Sweden,Ettan_(football),Ettan Fotboll,3,3,ok,Division 1 Södra; Ettan Fotboll; Ettan Norra; Ettan Södra
Liga,Moldova,Moldovan_Liga,Moldovan Liga,1,1,ok,
Swiss Challenge League,Switzerland,Swiss_Challenge_League,Swiss Challenge League,2,2,ok,Challenge League
USL League One,United States,USL_League_One,USL League One,3,[[United States soccer league system#Men's league structure|3]],ok,
MLS Next,United States,MLS_Next,MLS Next,,manual: youth development league (not a senior pyramid tier),manual-na,
LS Pro,Canada,Ligue1_Qu%C3%A9bec,LS Pro,3,[[Canadian soccer league system|3]],ok,Ligue1 Québec
Regionalliga Central,Austria,Austrian_Regionalliga_Central,Austrian Regionalliga Central,3,3,ok,
Qatari Second Division,Qatar,Qatari_Second_Division,Qatar Stars League 2,2,2,ok,
Campeonato Paulista Série A3,Brazil,Campeonato_Paulista_S%C3%A9rie_A3,Campeonato Paulista Série A3,3,3,ok,
Campeonato Brasileiro Série B,Brazil,Campeonato_Brasileiro_S%C3%A9rie_B,Campeonato Brasileiro Série B,2,[[Brazilian football league system|2]],ok,
First League,Bulgaria,First_Professional_Football_League_(Bulgaria),First Professional Football League (Bulgaria),1,1,ok,First Professional Football League
Ligue Haïtienne,Haiti,Ligue_Ha%C3%AFtienne,Ligue Haïtienne,1,1,ok,
Régional 3,France,R%C3%A9gional_3,French football league system,8,manual: French football league system: Level 8,manual,
1st Division,Denmark,Danish_1st_Division,Danish 1st Division,2,2,ok,Danish 1st Division
Serbian First League,Serbia,Serbian_First_League,Serbian First League,2,2,ok,
A-League Youth,Australia,National_Youth_League_(Australia),A-League Youth,,"corrected: A-League youth/reserve competition, not a senior tier",corrected-na,National Youth League
NPL South Australia,Australia,National_Premier_Leagues_South_Australia,National Premier Leagues South Australia,2,corrected: NPL = second tier of the Australian pyramid,corrected,
Gamma Ethniki,Greece,Gamma_Ethniki,Gamma Ethniki,3,"{{Unbulleted list|[[Greek football league system|3]] (1965–1967, 1977–2019 & 2021–present)|[[Greek football league system|4]] (2019–2021)}}",ok,
NSW League One,Australia,National_Premier_Leagues_NSW_2,Football NSW League,3,corrected: state league directly below NPL NSW,corrected,
National League,England,National_League_(division),National League (division),5,5<br />Step 1 ([[National League System]]),ok,
División Intermedia,Paraguay,Paraguayan_Divisi%C3%B3n_Intermedia,APF División Intermedia,2,2,ok,
Super League,Indonesia,Super_League_(Indonesia),Super League (Indonesia),1,[[Indonesian football league system|1]],ok,
Slovenian PrvaLiga,Slovenia,Slovenian_PrvaLiga,Slovenian PrvaLiga,1,1,ok,
J3 League,Japan,J3_League,J3 League,3,[[Japanese association football league system#Overview|3]],ok,
